Time resolution is 1 ps
time	reset	start	cs_n	sclk	mosi	miso	busy	done	rx_data
0	0	0	x	x	x	0	x	x	xxxx
10000	0	0	1	1	0	0	0	0	0000
70000	1	0	1	1	0	0	0	0	0000
110000	1	1	1	1	0	0	0	0	0000
130000	1	0	1	1	0	0	1	0	0000
150000	1	0	0	1	0	0	1	0	0000
290000	1	0	0	0	0	0	1	0	0000
370000	1	0	0	1	0	0	1	0	0000
450000	1	0	0	0	0	0	1	0	0000
530000	1	0	0	1	0	0	1	0	0000
610000	1	0	0	0	0	0	1	0	0000
690000	1	0	0	1	0	0	1	0	0000
770000	1	0	0	0	0	0	1	0	0000
850000	1	0	0	1	0	0	1	0	0000
930000	1	0	0	0	0	0	1	0	0000
1010000	1	0	0	1	0	0	1	0	0000
1090000	1	0	0	0	0	0	1	0	0000
1170000	1	0	0	1	0	0	1	0	0000
1250000	1	0	0	0	0	0	1	0	0000
1330000	1	0	0	1	0	0	1	0	0000
1410000	1	0	0	0	0	0	1	0	0000
1490000	1	0	0	1	0	0	1	0	0000
1570000	1	0	0	0	0	0	1	0	0000
1650000	1	0	0	1	0	0	1	0	0000
1730000	1	0	0	0	0	0	1	0	0000
1810000	1	0	0	1	0	0	1	0	0000
1890000	1	0	0	0	0	0	1	0	0000
1970000	1	0	0	1	0	0	1	0	0000
2050000	1	0	0	0	0	0	1	0	0000
2130000	1	0	0	1	0	0	1	0	0000
2210000	1	0	0	0	0	0	1	0	0000
2290000	1	0	0	1	0	0	1	0	0000
2370000	1	0	0	0	0	0	1	0	0000
2450000	1	0	0	1	0	0	1	0	0000
2530000	1	0	0	0	0	0	1	0	0000
2610000	1	0	0	1	0	0	1	0	0000
2690000	1	0	0	0	0	0	1	0	0000
2770000	1	0	0	1	0	0	1	0	0000
2790000	1	0	0	1	0	0	1	1	0000
2810000	1	0	0	1	0	0	0	0	0000
2830000	1	1	1	1	0	0	0	0	0000
2850000	1	0	1	1	0	0	1	0	0000
2870000	1	0	0	1	0	0	1	0	0000
3010000	1	0	0	0	0	0	1	0	0000
3090000	1	0	0	1	0	0	1	0	0000
3170000	1	0	0	0	0	0	1	0	0000
3250000	1	0	0	1	0	0	1	0	0000
3330000	1	0	0	0	0	0	1	0	0000
3410000	1	0	0	1	0	0	1	0	0000
3490000	1	0	0	0	0	1	1	0	0000
3570000	1	0	0	1	0	1	1	0	0000
3650000	1	0	0	0	0	1	1	0	0000
3730000	1	0	0	1	0	1	1	0	0000
3810000	1	0	0	0	0	0	1	0	0000
3890000	1	0	0	1	0	0	1	0	0000
3970000	1	0	0	0	0	0	1	0	0000
4050000	1	0	0	1	0	0	1	0	0000
4130000	1	0	0	0	0	1	1	0	0000
4210000	1	0	0	1	0	1	1	0	0000
4290000	1	0	0	0	0	0	1	0	0000
4370000	1	0	0	1	0	0	1	0	0000
4450000	1	0	0	0	0	1	1	0	0000
4530000	1	0	0	1	0	1	1	0	0000
4610000	1	0	0	0	0	0	1	0	0000
4690000	1	0	0	1	0	0	1	0	0000
4770000	1	0	0	0	0	0	1	0	0000
4850000	1	0	0	1	0	0	1	0	0000
4930000	1	0	0	0	0	0	1	0	0000
5010000	1	0	0	1	0	0	1	0	0000
5090000	1	0	0	0	0	0	1	0	0000
5170000	1	0	0	1	0	0	1	0	0000
5250000	1	0	0	0	0	0	1	0	0000
5330000	1	0	0	1	0	0	1	0	0000
5410000	1	0	0	0	0	0	1	0	0000
5490000	1	0	0	1	0	0	1	0	0000
5510000	1	0	0	1	0	0	1	1	0ca0
--------------------------------------------------
TX data        = 0xa5c3
Expected RX    = 0x1940
Actual RX      = 0x0ca0
--------------------------------------------------
TEST FAILED
5530000	1	0	0	1	0	0	0	0	0ca0
5550000	1	0	1	1	0	0	0	0	0ca0
$finish called at time : 5630 ns : File "C:/Users/kc10b/Vivado/ECE520L/lab5/spi_master/spi_master.srcs/sim_1/new/tb_spi_master.v" Line 120
