Time resolution is 1 ps
time	reset	load	fall_en	rise_en	miso	mosi	rx_data
0	0	0	0	0	0	x	xxxx
10000	0	0	0	0	0	0	0000
50000	1	0	0	0	0	0	0000
70000	1	1	0	0	0	1	0000
90000	1	0	0	0	0	1	0000
110000	1	0	1	0	0	0	0000
130000	1	0	0	0	0	0	0000
150000	1	0	0	1	0	0	0000
170000	1	0	0	0	0	0	0000
190000	1	0	1	0	0	1	0000
210000	1	0	0	0	0	1	0000
230000	1	0	0	1	0	1	0000
250000	1	0	0	0	0	1	0000
270000	1	0	1	0	0	0	0000
290000	1	0	0	0	1	0	0000
310000	1	0	0	1	1	0	0000
330000	1	0	0	0	1	0	0000
350000	1	0	1	0	1	0	0000
370000	1	0	0	0	1	0	0000
390000	1	0	0	1	1	0	0000
410000	1	0	0	0	1	0	0000
430000	1	0	1	0	1	1	0000
450000	1	0	0	0	1	1	0000
470000	1	0	0	1	1	1	0000
490000	1	0	0	0	1	1	0000
510000	1	0	1	0	1	0	0000
530000	1	0	0	0	1	0	0000
550000	1	0	0	1	1	0	0000
570000	1	0	0	0	1	0	0000
590000	1	0	1	0	1	1	0000
610000	1	0	0	0	0	1	0000
630000	1	0	0	1	0	1	0000
650000	1	0	0	0	0	1	0000
670000	1	0	1	0	0	1	0000
690000	1	0	0	0	1	1	0000
710000	1	0	0	1	1	1	0000
730000	1	0	0	0	1	1	0000
750000	1	0	1	0	1	1	0000
770000	1	0	0	0	1	1	0000
790000	1	0	0	1	1	1	0000
810000	1	0	0	0	1	1	0000
830000	1	0	1	0	1	0	0000
850000	1	0	0	0	0	0	0000
870000	1	0	0	1	0	0	0000
890000	1	0	0	0	0	0	0000
910000	1	0	1	0	0	0	0000
930000	1	0	0	0	0	0	0000
950000	1	0	0	1	0	0	0000
970000	1	0	0	0	0	0	0000
990000	1	0	1	0	0	0	0000
1010000	1	0	0	0	1	0	0000
1030000	1	0	0	1	1	0	0000
1050000	1	0	0	0	1	0	0000
1070000	1	0	1	0	1	0	0000
1090000	1	0	0	0	0	0	0000
1110000	1	0	0	1	0	0	0000
1130000	1	0	0	0	0	0	0000
1150000	1	0	1	0	0	1	0000
1170000	1	0	0	0	0	1	0000
1190000	1	0	0	1	0	1	0000
1210000	1	0	0	0	0	1	0000
1230000	1	0	1	0	0	1	0000
1250000	1	0	0	0	1	1	0000
1270000	1	0	0	1	1	1	0000
1290000	1	0	0	0	1	1	0000
1310000	1	0	1	0	1	0	0000
1330000	1	0	0	0	0	0	0000
1350000	1	0	0	1	0	0	0000
1370000	1	0	0	0	0	0	0000
1390000	1	0	0	0	0	0	3d92
--------------------------------------------------
TX data sent     = 0xa5c3
Expected RX data = 0x3d92
Actual RX data   = 0x3d92
--------------------------------------------------
TEST PASSED
$finish called at time : 1430 ns : File "C:/Users/kc10b/Vivado/ECE520L/lab5/spi_shift_reg/spi_shift_reg.srcs/sim_1/new/tb_spi_shift_reg.v" Line 109
